<block:advancedrocketry:advrocketmotor>, Advanced Rocket Engine
<block:tfc:ore/wolframite/shale>, Wolframite Shale
<block:tfc:ore/wolframite/slate>, Wolframite Slate
<block:tfc:ore/zircon/andesite>, Zircon Andesite
<block:tfc:ore/zircon/basalt>, Zircon Basalt
<block:tfc:ore/zircon/chalk>, Zircon Chalk
<block:tfc:ore/zircon/chert>, Zircon Chert
<block:tfc:ore/zircon/claystone>, Zircon Claystone
<block:tfc:ore/zircon/conglomerate>, Zircon Conglomerate
<block:tfc:ore/zircon/dacite>, Zircon Dacite
<block:tfc:ore/zircon/diorite>, Zircon Diorite
<block:tfc:ore/zircon/dolomite>, Zircon Dolomite
<block:tfc:ore/zircon/gabbro>, Zircon Gabbro
<block:tfc:ore/zircon/gneiss>, Zircon Gneiss
<block:tfc:ore/zircon/granite>, Zircon Granite
<block:tfc:ore/zircon/limestone>, Zircon Limestone
<block:tfc:ore/zircon/marble>, Zircon Marble
<block:tfc:ore/zircon/phyllite>, Zircon Phyllite
<block:tfc:ore/zircon/quartzite>, Zircon Quartzite
<block:tfc:ore/zircon/rhyolite>, Zircon Rhyolite
<block:tfc:ore/zircon/rocksalt>, Zircon Rocksalt
<block:tfc:ore/zircon/schist>, Zircon Schist
<block:tfc:ore/zircon/shale>, Zircon Shale
<block:tfc:ore/zircon/slate>, Zircon Slate
<block:tfc:path/andesite>, Andesite Path
<block:tfc:path/basalt>, Basalt Path
<block:tfc:path/chalk>, Chalk Path
<block:tfc:path/chert>, Chert Path
<block:tfc:path/claystone>, Claystone Path
<block:tfc:path/conglomerate>, Conglomerate Path
<block:tfc:path/dacite>, Dacite Path
<block:tfc:path/diorite>, Diorite Path
<block:tfc:path/dolomite>, Dolomite Path
<block:tfc:path/gabbro>, Gabbro Path
<block:tfc:path/gneiss>, Gneiss Path
<block:tfc:path/granite>, Granite Path
<block:tfc:path/limestone>, Limestone Path
<block:tfc:path/marble>, Marble Path
<block:tfc:path/phyllite>, Phyllite Path
<block:tfc:path/quartzite>, Quartzite Path
<block:tfc:path/rhyolite>, Rhyolite Path
<block:tfc:path/rocksalt>, Rocksalt Path
<block:tfc:path/schist>, Schist Path
<block:tfc:path/shale>, Shale Path
<block:tfc:path/slate>, Slate Path
<block:tfc:peat>, Peat
<block:tfc:peat_grass>, Peat Grass
<block:tfc:pit_kiln>, Pit Kiln
<block:tfc:placed_hide>, tile.tfc.placed_hide.name
<block:tfc:placed_item>, Placed Items
<block:tfc:placed_item_flat>, Debris
<block:tfc:plants/allium>, Allium
<block:tfc:plants/athyrium_fern>, Athyrium Fern
<block:tfc:plants/barrel_cactus>, Barrel Cactus
<block:tfc:plants/black_orchid>, Black Orchid
<block:tfc:plants/blood_lily>, Blood Lily
<block:tfc:plants/blue_orchid>, Blue Orchid
<block:tfc:plants/butterfly_milkweed>, Butterfly Milkweed
<block:tfc:plants/calendula>, Marigold
<block:tfc:plants/canna>, Canna Lily
<block:tfc:plants/dandelion>, Dandelion
<block:tfc:plants/duckweed>, Duckweed
<block:tfc:plants/field_horsetail>, Field Horsetail
<block:tfc:plants/fountain_grass>, Fountain Grass
<block:tfc:plants/foxglove>, Foxglove
<block:tfc:plants/goldenrod>, Goldenrod
<block:tfc:plants/grape_hyacinth>, Grape Hyacinth
<block:tfc:plants/guzmania>, Scarlet Star Bromeliad
<block:tfc:plants/houstonia>, Azure Bluet
<block:tfc:plants/labrador_tea>, Labrador Tea
<block:tfc:plants/lady_fern>, Lady Fern
<block:tfc:plants/licorice_fern>, Licorice Fern
<block:tfc:plants/lotus>, Lotus
<block:tfc:plants/meads_milkweed>, Mead's Milkweed
<block:tfc:plants/morning_glory>, Morning Glory
<block:tfc:plants/moss>, Moss
<block:tfc:plants/nasturtium>, Nasturtium
<block:tfc:plants/orchard_grass>, Orchard Grass
<block:tfc:plants/ostrich_fern>, Ostrich Fern
<block:tfc:plants/oxeye_daisy>, Oxeye Daisy
<block:tfc:plants/pampas_grass>, Pampas Grass
<block:tfc:plants/perovskia>, Russian Sage
<block:tfc:plants/pistia>, Water Lettuce
<block:tfc:plants/poppy>, Poppy
<block:tfc:plants/porcini>, Porcini Mushroom
<block:tfc:plants/primrose>, Primrose
<block:tfc:plants/pulsatilla>, Pasque Flower
<block:tfc:plants/reindeer_lichen>, Reindeer Lichen
<block:tfc:plants/rose>, Rose
<block:tfc:plants/rough_horsetail>, Scouringrush Horsetail
<block:tfc:plants/ryegrass>, Ryegrass
<block:tfc:plants/sacred_datura>, Sacred Datura
<block:tfc:plants/sagebrush>, Sagebrush
<block:tfc:plants/sapphire_tower>, Sapphire Tower
<block:tfc:plants/sargassum>, Sargassum
<block:tfc:plants/scutch_grass>, Scutch Grass
<block:tfc:plants/snapdragon_pink>, Pink Snapdragon
<block:tfc:plants/snapdragon_red>, Red Snapdragon
<block:tfc:plants/snapdragon_white>, White Snapdragon
<block:tfc:plants/snapdragon_yellow>, Yellow Snapdragon
<block:tfc:plants/spanish_moss>, Spanish Moss
<block:tfc:plants/strelitzia>, Bird of Paradise Flower
<block:tfc:plants/switchgrass>, Switchgrass
<block:tfc:plants/sword_fern>, Sword Fern
<block:tfc:plants/tall_fescue_grass>, Tall Fescue Grass
<block:tfc:plants/timothy_grass>, Timothy Grass
<block:tfc:plants/toquilla_palm>, Toquilla Palm
<block:tfc:plants/tree_fern>, Tree Fern
<block:tfc:plants/trillium>, Trillium
<block:tfc:plants/tropical_milkweed>, Tropical Milkweed
<block:tfc:plants/tulip_orange>, Orange Tulip
<block:tfc:plants/tulip_pink>, Pink Tulip
<block:tfc:plants/tulip_red>, Red Tulip
<block:tfc:plants/tulip_white>, White Tulip
<block:tfc:plants/vriesea>, Flaming Sword Bromeliad
<block:tfc:plants/water_canna>, Water Canna
<block:tfc:plants/water_lily>, Water Lily
<block:tfc:plants/yucca>, Yucca
<block:tfc:powderkeg>, Powderkeg
<block:tfc:quern>, Quern
<block:tfc:raw/andesite>, Raw Andesite
<block:tfc:raw/basalt>, Raw Basalt
<block:tfc:raw/chalk>, Raw Chalk
<block:tfc:raw/chert>, Raw Chert
<block:tfc:raw/claystone>, Raw Claystone
<block:tfc:raw/conglomerate>, Raw Conglomerate
<block:tfc:raw/dacite>, Raw Dacite
<block:tfc:raw/diorite>, Raw Diorite
<block:tfc:raw/dolomite>, Raw Dolomite
<block:tfc:raw/gabbro>, Raw Gabbro
<block:tfc:raw/gneiss>, Raw Gneiss
<block:tfc:raw/granite>, Raw Granite
<block:tfc:raw/limestone>, Raw Limestone
<block:tfc:raw/marble>, Raw Marble
<block:tfc:raw/phyllite>, Raw Phyllite
<block:tfc:raw/quartzite>, Raw Quartzite
<block:tfc:raw/rhyolite>, Raw Rhyolite
<block:tfc:raw/rocksalt>, Raw Rocksalt
<block:tfc:raw/schist>, Raw Schist
<block:tfc:raw/shale>, Raw Shale
<block:tfc:raw/slate>, Raw Slate
<block:tfc:sand/andesite>, Andesite Sand
<block:tfc:sand/basalt>, Basalt Sand
<block:tfc:sand/chalk>, Chalk Sand
<block:tfc:sand/chert>, Chert Sand
<block:tfc:sand/claystone>, Claystone Sand
<block:tfc:sand/conglomerate>, Conglomerate Sand
<block:tfc:sand/dacite>, Dacite Sand
<block:tfc:sand/diorite>, Diorite Sand
<block:tfc:sand/dolomite>, Dolomite Sand
<block:tfc:sand/gabbro>, Gabbro Sand
<block:tfc:sand/gneiss>, Gneiss Sand
<block:tfc:sand/granite>, Granite Sand
<block:tfc:sand/limestone>, Limestone Sand
<block:tfc:sand/marble>, Marble Sand
<block:tfc:sand/phyllite>, Phyllite Sand
<block:tfc:sand/quartzite>, Quartzite Sand
<block:tfc:sand/rhyolite>, Rhyolite Sand
<block:tfc:sand/rocksalt>, Rocksalt Sand
<block:tfc:sand/schist>, Schist Sand
<block:tfc:sand/shale>, Shale Sand
<block:tfc:sand/slate>, Slate Sand
<block:tfc:sea_ice>, Sea Ice
<block:tfc:sheet/aluminum>, tile.tfc.sheet.aluminum.name
<block:tfc:sheet/aluminum_brass>, tile.tfc.sheet.aluminum_brass.name
<block:tfc:sheet/antimony>, tile.tfc.sheet.antimony.name
<block:tfc:sheet/ardite>, tile.tfc.sheet.ardite.name
<block:tfc:sheet/beryllium>, tile.tfc.sheet.beryllium.name
<block:tfc:sheet/beryllium_copper>, tile.tfc.sheet.beryllium_copper.name
<block:tfc:sheet/bismuth>, tile.tfc.sheet.bismuth.name
<block:tfc:sheet/bismuth_bronze>, tile.tfc.sheet.bismuth_bronze.name
<block:tfc:sheet/black_bronze>, tile.tfc.sheet.black_bronze.name
<block:tfc:sheet/black_steel>, tile.tfc.sheet.black_steel.name
<block:tfc:sheet/blue_steel>, tile.tfc.sheet.blue_steel.name
<block:tfc:sheet/boron>, tile.tfc.sheet.boron.name
<block:tfc:sheet/brass>, tile.tfc.sheet.brass.name
<block:tfc:sheet/bronze>, tile.tfc.sheet.bronze.name
<block:tfc:sheet/cobalt>, tile.tfc.sheet.cobalt.name
<block:tfc:sheet/constantan>, tile.tfc.sheet.constantan.name
<block:tfc:sheet/copper>, tile.tfc.sheet.copper.name
<block:tfc:sheet/electrum>, tile.tfc.sheet.electrum.name
<block:tfc:sheet/ferroboron>, tile.tfc.sheet.ferroboron.name
<block:tfc:sheet/gold>, tile.tfc.sheet.gold.name
<block:tfc:sheet/hsla_steel>, tile.tfc.sheet.hsla_steel.name
<block:tfc:sheet/invar>, tile.tfc.sheet.invar.name
<block:tfc:sheet/lead>, tile.tfc.sheet.lead.name
<block:tfc:sheet/lithium>, tile.tfc.sheet.lithium.name
<block:tfc:sheet/magnesium>, tile.tfc.sheet.magnesium.name
<block:tfc:sheet/magnesium_diboride>, tile.tfc.sheet.magnesium_diboride.name
<block:tfc:sheet/manganese>, tile.tfc.sheet.manganese.name
<block:tfc:sheet/manyullyn>, tile.tfc.sheet.manyullyn.name
<block:tfc:sheet/nickel>, tile.tfc.sheet.nickel.name
<block:tfc:sheet/nickel_silver>, tile.tfc.sheet.nickel_silver.name
<block:tfc:sheet/osmium>, tile.tfc.sheet.osmium.name
<block:tfc:sheet/pig_iron>, tile.tfc.sheet.pig_iron.name
<block:tfc:sheet/platinum>, tile.tfc.sheet.platinum.name
<block:tfc:sheet/red_alloy>, tile.tfc.sheet.red_alloy.name
<block:tfc:sheet/red_steel>, tile.tfc.sheet.red_steel.name
<block:tfc:sheet/rose_gold>, tile.tfc.sheet.rose_gold.name
<block:tfc:sheet/silver>, tile.tfc.sheet.silver.name
<block:tfc:sheet/steel>, tile.tfc.sheet.steel.name
<block:tfc:sheet/sterling_silver>, tile.tfc.sheet.sterling_silver.name
<block:tfc:sheet/thorium>, tile.tfc.sheet.thorium.name
<block:tfc:sheet/tin>, tile.tfc.sheet.tin.name
<block:tfc:sheet/titanium>, tile.tfc.sheet.titanium.name
<block:tfc:sheet/tough>, tile.tfc.sheet.tough.name
<block:tfc:sheet/tungsten>, tile.tfc.sheet.tungsten.name
<block:tfc:sheet/tungsten_steel>, tile.tfc.sheet.tungsten_steel.name
<block:tfc:sheet/uranium>, tile.tfc.sheet.uranium.name
<block:tfc:sheet/wrought_iron>, tile.tfc.sheet.wrought_iron.name
<block:tfc:sheet/zinc>, tile.tfc.sheet.zinc.name
<block:tfc:sheet/zircaloy>, tile.tfc.sheet.zircaloy.name
<block:tfc:sheet/zirconium>, tile.tfc.sheet.zirconium.name
<block:tfc:slab/bricks/andesite>, Andesite Brick Slab
<block:tfc:slab/bricks/basalt>, Basalt Brick Slab
<block:tfc:slab/bricks/chalk>, Chalk Brick Slab
<block:tfc:slab/bricks/chert>, Chert Brick Slab
<block:tfc:slab/bricks/claystone>, Claystone Brick Slab
<block:tfc:slab/bricks/conglomerate>, Conglomerate Brick Slab
<block:tfc:slab/bricks/dacite>, Dacite Brick Slab
<block:tfc:slab/bricks/diorite>, Diorite Brick Slab
<block:tfc:slab/bricks/dolomite>, Dolomite Brick Slab
<block:tfc:slab/bricks/gabbro>, Gabbro Brick Slab
<block:tfc:slab/bricks/gneiss>, Gneiss Brick Slab
<block:tfc:slab/bricks/granite>, Granite Brick Slab
<block:tfc:slab/bricks/limestone>, Limestone Brick Slab
<block:tfc:slab/bricks/marble>, Marble Brick Slab
<block:tfc:slab/bricks/phyllite>, Phyllite Brick Slab
<block:tfc:slab/bricks/quartzite>, Quartzite Brick Slab
<block:tfc:slab/bricks/rhyolite>, Rhyolite Brick Slab
<block:tfc:slab/bricks/rocksalt>, Rocksalt Brick Slab
<block:tfc:slab/bricks/schist>, Schist Brick Slab
<block:tfc:slab/bricks/shale>, Shale Brick Slab
<block:tfc:slab/bricks/slate>, Slate Brick Slab
<block:tfc:slab/cobble/andesite>, Andesite Cobble Slab
<block:tfc:slab/cobble/basalt>, Basalt Cobble Slab
<block:tfc:slab/cobble/chalk>, Chalk Cobble Slab
<block:tfc:slab/cobble/chert>, Chert Cobble Slab
<block:tfc:slab/cobble/claystone>, Claystone Cobble Slab
<block:tfc:slab/cobble/conglomerate>, Conglomerate Cobble Slab
<block:tfc:slab/cobble/dacite>, Dacite Cobble Slab
<block:tfc:slab/cobble/diorite>, Diorite Cobble Slab
<block:tfc:slab/cobble/dolomite>, Dolomite Cobble Slab
<block:tfc:slab/cobble/gabbro>, Gabbro Cobble Slab
<block:tfc:slab/cobble/gneiss>, Gneiss Cobble Slab
<block:tfc:slab/cobble/granite>, Granite Cobble Slab
<block:tfc:slab/cobble/limestone>, Limestone Cobble Slab
<block:tfc:slab/cobble/marble>, Marble Cobble Slab
<block:tfc:slab/cobble/phyllite>, Phyllite Cobble Slab
<block:tfc:slab/cobble/quartzite>, Quartzite Cobble Slab
<block:tfc:slab/cobble/rhyolite>, Rhyolite Cobble Slab
<block:tfc:slab/cobble/rocksalt>, Rocksalt Cobble Slab
<block:tfc:slab/cobble/schist>, Schist Cobble Slab
<block:tfc:slab/cobble/shale>, Shale Cobble Slab
<block:tfc:slab/cobble/slate>, Slate Cobble Slab
<block:tfc:slab/smooth/andesite>, Smooth Andesite Slab
<block:tfc:slab/smooth/basalt>, Smooth Basalt Slab
<block:tfc:slab/smooth/chalk>, Smooth Chalk Slab
<block:tfc:slab/smooth/chert>, Smooth Chert Slab
<block:tfc:slab/smooth/claystone>, Smooth Claystone Slab
<block:tfc:slab/smooth/conglomerate>, Smooth Conglomerate Slab
<block:tfc:slab/smooth/dacite>, Smooth Dacite Slab
<block:tfc:slab/smooth/diorite>, Smooth Diorite Slab
<block:tfc:slab/smooth/dolomite>, Smooth Dolomite Slab
<block:tfc:slab/smooth/gabbro>, Smooth Gabbro Slab
<block:tfc:slab/smooth/gneiss>, Smooth Gneiss Slab
<block:tfc:slab/smooth/granite>, Smooth Granite Slab
<block:tfc:slab/smooth/limestone>, Smooth Limestone Slab
<block:tfc:slab/smooth/marble>, Smooth Marble Slab
<block:tfc:slab/smooth/phyllite>, Smooth Phyllite Slab
<block:tfc:slab/smooth/quartzite>, Smooth Quartzite Slab
<block:tfc:slab/smooth/rhyolite>, Smooth Rhyolite Slab
<block:tfc:slab/smooth/rocksalt>, Smooth Rocksalt Slab
<block:tfc:slab/smooth/schist>, Smooth Schist Slab
<block:tfc:slab/smooth/shale>, Smooth Shale Slab
<block:tfc:slab/smooth/slate>, Smooth Slate Slab
<block:tfc:slab/wood/acacia>, Acacia Slab
<block:tfc:slab/wood/ash>, Ash Slab
<block:tfc:slab/wood/aspen>, Aspen Slab
<block:tfc:slab/wood/birch>, Birch Slab
<block:tfc:slab/wood/blackwood>, Blackwood Slab
<block:tfc:slab/wood/chestnut>, Chestnut Slab
<block:tfc:slab/wood/douglas_fir>, Douglas Fir Slab
<block:tfc:slab/wood/hevea>, Hevea Slab
<block:tfc:slab/wood/hickory>, Hickory Slab
<block:tfc:slab/wood/kapok>, Kapok Slab
<block:tfc:slab/wood/maple>, Maple Slab
<block:tfc:slab/wood/oak>, Oak Slab
<block:tfc:slab/wood/palm>, Palm Slab
<block:tfc:slab/wood/pine>, Pine Slab
<block:tfc:slab/wood/rosewood>, Rosewood Slab
<block:tfc:slab/wood/sequoia>, Sequoia Slab
<block:tfc:slab/wood/spruce>, Spruce Slab
<block:tfc:slab/wood/sycamore>, Sycamore Slab
<block:tfc:slab/wood/white_cedar>, White Cedar Slab
<block:tfc:slab/wood/willow>, Willow Slab
<block:tfc:sluice>, Sluice
<block:tfc:smooth/andesite>, Smooth Andesite
<block:tfc:smooth/basalt>, Smooth Basalt
<block:tfc:smooth/chalk>, Smooth Chalk
<block:tfc:smooth/chert>, Smooth Chert
<block:tfc:smooth/claystone>, Smooth Claystone
<block:tfc:smooth/conglomerate>, Smooth Conglomerate
<block:tfc:smooth/dacite>, Smooth Dacite
<block:tfc:smooth/diorite>, Smooth Diorite
<block:tfc:smooth/dolomite>, Smooth Dolomite
<block:tfc:smooth/gabbro>, Smooth Gabbro
<block:tfc:smooth/gneiss>, Smooth Gneiss
<block:tfc:smooth/granite>, Smooth Granite
<block:tfc:smooth/limestone>, Smooth Limestone
<block:tfc:smooth/marble>, Smooth Marble
<block:tfc:smooth/phyllite>, Smooth Phyllite
<block:tfc:smooth/quartzite>, Smooth Quartzite
<block:tfc:smooth/rhyolite>, Smooth Rhyolite
<block:tfc:smooth/rocksalt>, Smooth Rocksalt
<block:tfc:smooth/schist>, Smooth Schist
<block:tfc:smooth/shale>, Smooth Shale
<block:tfc:smooth/slate>, Smooth Slate
<block:tfc:spike/andesite>, tile.tfc.spike.andesite.name
<block:tfc:spike/basalt>, tile.tfc.spike.basalt.name
<block:tfc:spike/chalk>, tile.tfc.spike.chalk.name
<block:tfc:spike/chert>, tile.tfc.spike.chert.name
<block:tfc:spike/claystone>, tile.tfc.spike.claystone.name
<block:tfc:spike/conglomerate>, tile.tfc.spike.conglomerate.name
<block:tfc:spike/dacite>, tile.tfc.spike.dacite.name
<block:tfc:spike/diorite>, tile.tfc.spike.diorite.name
<block:tfc:spike/dolomite>, tile.tfc.spike.dolomite.name
<block:tfc:spike/gabbro>, tile.tfc.spike.gabbro.name
<block:tfc:spike/gneiss>, tile.tfc.spike.gneiss.name
<block:tfc:spike/granite>, tile.tfc.spike.granite.name
<block:tfc:spike/limestone>, tile.tfc.spike.limestone.name
<block:tfc:spike/marble>, tile.tfc.spike.marble.name
<block:tfc:spike/phyllite>, tile.tfc.spike.phyllite.name
<block:tfc:spike/quartzite>, tile.tfc.spike.quartzite.name
<block:tfc:spike/rhyolite>, tile.tfc.spike.rhyolite.name
<block:tfc:spike/rocksalt>, tile.tfc.spike.rocksalt.name
<block:tfc:spike/schist>, tile.tfc.spike.schist.name
<block:tfc:spike/shale>, tile.tfc.spike.shale.name
<block:tfc:spike/slate>, tile.tfc.spike.slate.name
<block:tfc:stairs/bricks/andesite>, Andesite Brick Stairs
<block:tfc:stairs/bricks/basalt>, Basalt Brick Stairs
<block:tfc:stairs/bricks/chalk>, Chalk Brick Stairs
<block:tfc:stairs/bricks/chert>, Chert Brick Stairs
<block:tfc:stairs/bricks/claystone>, Claystone Brick Stairs
<block:tfc:stairs/bricks/conglomerate>, Conglomerate Brick Stairs
<block:tfc:stairs/bricks/dacite>, Dacite Brick Stairs
<block:tfc:stairs/bricks/diorite>, Diorite Brick Stairs
<block:tfc:stairs/bricks/dolomite>, Dolomite Brick Stairs
<block:tfc:stairs/bricks/gabbro>, Gabbro Brick Stairs
<block:tfc:stairs/bricks/gneiss>, Gneiss Brick Stairs
<block:tfc:stairs/bricks/granite>, Granite Brick Stairs
<block:tfc:stairs/bricks/limestone>, Limestone Brick Stairs
<block:tfc:stairs/bricks/marble>, Marble Brick Stairs
<block:tfc:stairs/bricks/phyllite>, Phyllite Brick Stairs
<block:tfc:stairs/bricks/quartzite>, Quartzite Brick Stairs
<block:tfc:stairs/bricks/rhyolite>, Rhyolite Brick Stairs
<block:tfc:stairs/bricks/rocksalt>, Rocksalt Brick Stairs
<block:tfc:stairs/bricks/schist>, Schist Brick Stairs
<block:tfc:stairs/bricks/shale>, Shale Brick Stairs
<block:tfc:stairs/bricks/slate>, Slate Brick Stairs
<block:tfc:stairs/cobble/andesite>, Andesite Cobble Stairs
<block:tfc:stairs/cobble/basalt>, Basalt Cobble Stairs
<block:tfc:stairs/cobble/chalk>, Chalk Cobble Stairs
<block:tfc:stairs/cobble/chert>, Chert Cobble Stairs
<block:tfc:stairs/cobble/claystone>, Claystone Cobble Stairs
<block:tfc:stairs/cobble/conglomerate>, Conglomerate Cobble Stairs
<block:tfc:stairs/cobble/dacite>, Dacite Cobble Stairs
<block:tfc:stairs/cobble/diorite>, Diorite Cobble Stairs
<block:tfc:stairs/cobble/dolomite>, Dolomite Cobble Stairs
<block:tfc:stairs/cobble/gabbro>, Gabbro Cobble Stairs
<block:tfc:stairs/cobble/gneiss>, Gneiss Cobble Stairs
<block:tfc:stairs/cobble/granite>, Granite Cobble Stairs
<block:tfc:stairs/cobble/limestone>, Limestone Cobble Stairs
<block:tfc:stairs/cobble/marble>, Marble Cobble Stairs
<block:tfc:stairs/cobble/phyllite>, Phyllite Cobble Stairs
<block:tfc:stairs/cobble/quartzite>, Quartzite Cobble Stairs
<block:tfc:stairs/cobble/rhyolite>, Rhyolite Cobble Stairs
<block:tfc:stairs/cobble/rocksalt>, Rocksalt Cobble Stairs
<block:tfc:stairs/cobble/schist>, Schist Cobble Stairs
<block:tfc:stairs/cobble/shale>, Shale Cobble Stairs
<block:tfc:stairs/cobble/slate>, Slate Cobble Stairs
<block:tfc:stairs/smooth/andesite>, Smooth Andesite Stairs
<block:tfc:stairs/smooth/basalt>, Smooth Basalt Stairs
<block:tfc:stairs/smooth/chalk>, Smooth Chalk Stairs
<block:tfc:stairs/smooth/chert>, Smooth Chert Stairs
<block:tfc:stairs/smooth/claystone>, Smooth Claystone Stairs
<block:tfc:stairs/smooth/conglomerate>, Smooth Conglomerate Stairs
<block:tfc:stairs/smooth/dacite>, Smooth Dacite Stairs
<block:tfc:stairs/smooth/diorite>, Smooth Diorite Stairs
<block:tfc:stairs/smooth/dolomite>, Smooth Dolomite Stairs
<block:tfc:stairs/smooth/gabbro>, Smooth Gabbro Stairs
<block:tfc:stairs/smooth/gneiss>, Smooth Gneiss Stairs
<block:tfc:stairs/smooth/granite>, Smooth Granite Stairs
<block:tfc:stairs/smooth/limestone>, Smooth Limestone Stairs
<block:tfc:stairs/smooth/marble>, Smooth Marble Stairs
<block:tfc:stairs/smooth/phyllite>, Smooth Phyllite Stairs
<block:tfc:stairs/smooth/quartzite>, Smooth Quartzite Stairs
<block:tfc:stairs/smooth/rhyolite>, Smooth Rhyolite Stairs
<block:tfc:stairs/smooth/rocksalt>, Smooth Rocksalt Stairs
<block:tfc:stairs/smooth/schist>, Smooth Schist Stairs
<block:tfc:stairs/smooth/shale>, Smooth Shale Stairs
<block:tfc:stairs/smooth/slate>, Smooth Slate Stairs
<block:tfc:stairs/wood/acacia>, Acacia Stairs
<block:tfc:stairs/wood/ash>, Ash Stairs
<block:tfc:stairs/wood/aspen>, Aspen Stairs
<block:tfc:stairs/wood/birch>, Birch Stairs
<block:tfc:stairs/wood/blackwood>, Blackwood Stairs
<block:tfc:stairs/wood/chestnut>, Chestnut Stairs
<block:tfc:stairs/wood/douglas_fir>, Douglas Fir Stairs
<block:tfc:stairs/wood/hevea>, Hevea Stairs
<block:tfc:stairs/wood/hickory>, Hickory Stairs
<block:tfc:stairs/wood/kapok>, Kapok Stairs
<block:tfc:stairs/wood/maple>, Maple Stairs
<block:tfc:stairs/wood/oak>, Oak Stairs
<block:tfc:stairs/wood/palm>, Palm Stairs
<block:tfc:stairs/wood/pine>, Pine Stairs
<block:tfc:stairs/wood/rosewood>, Rosewood Stairs
<block:tfc:stairs/wood/sequoia>, Sequoia Stairs
<block:tfc:stairs/wood/spruce>, Spruce Stairs
<block:tfc:stairs/wood/sycamore>, Sycamore Stairs
<block:tfc:stairs/wood/white_cedar>, White Cedar Stairs
<block:tfc:stairs/wood/willow>, Willow Stairs
<block:tfc:stone/button/andesite>, Andesite Button
<block:tfc:stone/button/basalt>, Basalt Button
<block:tfc:stone/button/chalk>, Chalk Button
<block:tfc:stone/button/chert>, Chert Button
<block:tfc:stone/button/claystone>, Claystone Button
<block:tfc:stone/button/conglomerate>, Conglomerate Button
<block:tfc:stone/button/dacite>, Dacite Button
<block:tfc:stone/button/diorite>, Diorite Button
<block:tfc:stone/button/dolomite>, Dolomite Button
<block:tfc:stone/button/gabbro>, Gabbro Button
<block:tfc:stone/button/gneiss>, Gneiss Button
<block:tfc:stone/button/granite>, Granite Button
<block:tfc:stone/button/limestone>, Limestone Button
<block:tfc:stone/button/marble>, Marble Button
<block:tfc:stone/button/phyllite>, Phyllite Button
<block:tfc:stone/button/quartzite>, Quartzite Button
<block:tfc:stone/button/rhyolite>, Rhyolite Button
<block:tfc:stone/button/rocksalt>, Rocksalt Button
<block:tfc:stone/button/schist>, Schist Button
<block:tfc:stone/button/shale>, Shale Button
<block:tfc:stone/button/slate>, Slate Button
<block:tfc:stone/pressure_plate/andesite>, Andesite Pressure Plate
<block:tfc:stone/pressure_plate/basalt>, Basalt Pressure Plate
<block:tfc:stone/pressure_plate/chalk>, Chalk Pressure Plate
<block:tfc:stone/pressure_plate/chert>, Chert Pressure Plate
<block:tfc:stone/pressure_plate/claystone>, Claystone Pressure Plate
<block:tfc:stone/pressure_plate/conglomerate>, Conglomerate Pressure Plate
<block:tfc:stone/pressure_plate/dacite>, Dacite Pressure Plate
<block:tfc:stone/pressure_plate/diorite>, Diorite Pressure Plate
<block:tfc:stone/pressure_plate/dolomite>, Dolomite Pressure Plate
<block:tfc:stone/pressure_plate/gabbro>, Gabbro Pressure Plate
<block:tfc:stone/pressure_plate/gneiss>, Gneiss Pressure Plate
<block:tfc:stone/pressure_plate/granite>, Granite Pressure Plate
<block:tfc:stone/pressure_plate/limestone>, Limestone Pressure Plate
<block:tfc:stone/pressure_plate/marble>, Marble Pressure Plate
<block:tfc:stone/pressure_plate/phyllite>, Phyllite Pressure Plate
<block:tfc:stone/pressure_plate/quartzite>, Quartzite Pressure Plate
<block:tfc:stone/pressure_plate/rhyolite>, Rhyolite Pressure Plate
<block:tfc:stone/pressure_plate/rocksalt>, Rocksalt Pressure Plate
<block:tfc:stone/pressure_plate/schist>, Schist Pressure Plate
<block:tfc:stone/pressure_plate/shale>, Shale Pressure Plate
<block:tfc:stone/pressure_plate/slate>, Slate Pressure Plate
<block:tfc:thatch>, Thatch
<block:tfc:thatch_bed>, tile.tfc.thatch_bed.name
<block:tfc:wall/bricks/andesite>, tile.tfc.wall.bricks.andesite.normal.name
<block:tfc:wall/bricks/basalt>, tile.tfc.wall.bricks.basalt.normal.name
<block:tfc:wall/bricks/chalk>, tile.tfc.wall.bricks.chalk.normal.name
<block:tfc:wall/bricks/chert>, tile.tfc.wall.bricks.chert.normal.name
<block:tfc:wall/bricks/claystone>, tile.tfc.wall.bricks.claystone.normal.name
<block:tfc:wall/bricks/conglomerate>, tile.tfc.wall.bricks.conglomerate.normal.name
<block:tfc:wall/bricks/dacite>, tile.tfc.wall.bricks.dacite.normal.name
<block:tfc:wall/bricks/diorite>, tile.tfc.wall.bricks.diorite.normal.name
<block:tfc:wall/bricks/dolomite>, tile.tfc.wall.bricks.dolomite.normal.name
<block:tfc:wall/bricks/gabbro>, tile.tfc.wall.bricks.gabbro.normal.name
<block:tfc:wall/bricks/gneiss>, tile.tfc.wall.bricks.gneiss.normal.name
<block:tfc:wall/bricks/granite>, tile.tfc.wall.bricks.granite.normal.name
<block:tfc:wall/bricks/limestone>, tile.tfc.wall.bricks.limestone.normal.name
<block:tfc:wall/bricks/marble>, tile.tfc.wall.bricks.marble.normal.name
